datetime,open,high,low,close,volume
2026-03-06 09:15:00+05:30,69.0,75.4,60.05,72.15,2536365
2026-03-06 09:20:00+05:30,71.95,72.7,65.2,67.0,1768260
2026-03-06 09:25:00+05:30,66.5,68.05,64.1,65.75,1011270
2026-03-06 09:30:00+05:30,65.4,67.45,64.35,67.1,728975
2026-03-06 09:35:00+05:30,67.0,68.5,62.3,67.25,922220
2026-03-06 09:40:00+05:30,67.05,68.1,61.6,62.55,667420
2026-03-06 09:45:00+05:30,62.45,65.15,60.3,64.35,644410
2026-03-06 09:50:00+05:30,64.4,66.1,63.25,64.95,530660
2026-03-06 09:55:00+05:30,64.9,68.1,64.65,67.1,674895
2026-03-06 10:00:00+05:30,67.15,68.8,63.5,64.25,830960
2026-03-06 10:05:00+05:30,64.25,67.85,60.55,61.85,692120
2026-03-06 10:10:00+05:30,61.65,63.4,61.45,62.1,301600
2026-03-06 10:15:00+05:30,62.1,62.6,59.5,60.95,483665
2026-03-06 10:20:00+05:30,61.2,62.7,60.5,60.75,281970
2026-03-06 10:25:00+05:30,60.9,65.4,60.3,64.5,510900
2026-03-06 10:30:00+05:30,64.4,67.65,64.05,67.35,457145
2026-03-06 10:35:00+05:30,67.75,69.85,65.05,67.25,897260
2026-03-06 10:40:00+05:30,67.05,69.15,65.1,67.8,386100
2026-03-06 10:45:00+05:30,67.7,72.3,65.85,72.3,773890
2026-03-06 10:50:00+05:30,72.7,75.7,64.9,71.2,1395355
2026-03-06 10:55:00+05:30,71.25,74.8,70.15,70.8,787800
2026-03-06 11:00:00+05:30,70.7,71.65,63.05,63.35,978510
2026-03-06 11:05:00+05:30,63.2,65.2,61.65,62.6,728845
2026-03-06 11:10:00+05:30,62.8,65.35,62.8,64.15,553735
2026-03-06 11:15:00+05:30,64.4,70.3,63.35,68.0,1001260
2026-03-06 11:20:00+05:30,67.8,69.9,65.8,69.8,646555
2026-03-06 11:25:00+05:30,70.0,71.25,67.4,67.45,664820
2026-03-06 11:30:00+05:30,67.45,70.1,65.35,65.8,523835
2026-03-06 11:35:00+05:30,65.8,66.65,63.5,63.85,506610
2026-03-06 11:40:00+05:30,64.0,66.75,61.5,66.75,658970
2026-03-06 11:45:00+05:30,66.8,67.35,62.5,63.15,464165
2026-03-06 11:50:00+05:30,63.0,65.9,62.3,64.7,270335
2026-03-06 11:55:00+05:30,64.95,65.9,62.5,62.8,363025
2026-03-06 12:00:00+05:30,63.05,66.5,62.85,66.3,326365
2026-03-06 12:05:00+05:30,66.35,67.9,62.85,63.15,503295
2026-03-06 12:10:00+05:30,63.3,68.1,62.05,67.3,447200
2026-03-06 12:15:00+05:30,67.3,68.45,63.6,65.85,429000
2026-03-06 12:20:00+05:30,65.9,69.3,65.55,67.3,374530
2026-03-06 12:25:00+05:30,67.45,75.0,67.45,74.7,1002300
2026-03-06 12:30:00+05:30,74.3,74.35,69.35,71.2,850980
2026-03-06 12:35:00+05:30,71.25,73.5,69.6,72.7,464035
2026-03-06 12:40:00+05:30,72.4,73.75,66.6,68.2,593125
2026-03-06 12:45:00+05:30,68.0,73.25,66.85,69.15,574860
2026-03-06 12:50:00+05:30,69.25,70.65,65.15,70.55,578500
2026-03-06 12:55:00+05:30,70.65,71.85,67.25,67.8,408070
2026-03-06 13:00:00+05:30,67.7,72.25,67.0,69.3,467545
2026-03-06 13:05:00+05:30,69.1,71.3,67.15,70.5,400335
2026-03-06 13:10:00+05:30,70.65,71.0,68.25,69.55,237055
2026-03-06 13:15:00+05:30,69.3,70.7,67.55,69.6,222040
2026-03-06 13:20:00+05:30,69.5,70.4,66.4,68.65,401310
2026-03-06 13:25:00+05:30,68.5,69.45,67.0,67.8,283595
2026-03-06 13:30:00+05:30,67.85,81.4,67.45,77.4,1216475
2026-03-06 13:35:00+05:30,77.55,81.25,66.45,72.15,1736410
2026-03-06 13:40:00+05:30,72.4,75.0,69.95,71.7,834535
2026-03-06 13:45:00+05:30,71.7,81.6,71.7,77.0,1083550
2026-03-06 13:50:00+05:30,76.95,80.5,73.6,78.5,938990
2026-03-06 13:55:00+05:30,78.6,80.75,75.6,79.5,1092780
2026-03-06 14:00:00+05:30,80.15,88.35,75.9,83.0,2006940
2026-03-06 14:05:00+05:30,83.1,84.2,77.8,78.3,998725
2026-03-06 14:10:00+05:30,78.4,79.35,72.8,76.7,1004250
2026-03-06 14:15:00+05:30,76.75,77.05,70.0,72.3,779025
2026-03-06 14:20:00+05:30,72.1,73.8,70.7,71.55,494000
2026-03-06 14:25:00+05:30,71.5,76.35,71.1,76.1,645060
2026-03-06 14:30:00+05:30,76.05,77.4,72.8,76.35,653315
2026-03-06 14:35:00+05:30,76.0,81.75,73.35,80.9,887705
2026-03-06 14:40:00+05:30,81.05,91.75,80.65,89.5,2194530
2026-03-06 14:45:00+05:30,89.0,135.5,82.2,122.4,4256850
2026-03-06 14:50:00+05:30,122.1,125.95,101.35,111.65,2726620
2026-03-06 14:55:00+05:30,110.5,123.75,108.0,122.05,1840475
2026-03-06 15:00:00+05:30,121.3,131.65,106.45,115.9,2995005
2026-03-06 15:05:00+05:30,115.8,120.7,107.0,111.75,1984840
2026-03-06 15:10:00+05:30,111.1,121.75,108.8,115.3,1364415
2026-03-06 15:15:00+05:30,113.45,127.35,108.3,112.0,2011620
2026-03-06 15:20:00+05:30,111.35,112.35,95.95,106.35,1617265
2026-03-06 15:25:00+05:30,106.15,107.6,92.4,97.8,1588340
