datetime,open,high,low,close,volume
2026-03-05 09:15:00+05:30,115.0,115.0,60.0,71.35,1664845
2026-03-05 09:20:00+05:30,70.8,73.25,58.15,59.1,610805
2026-03-05 09:25:00+05:30,58.5,72.0,57.95,67.85,550095
2026-03-05 09:30:00+05:30,67.5,73.55,63.05,67.8,701935
2026-03-05 09:35:00+05:30,67.75,75.6,65.85,75.6,363090
2026-03-05 09:40:00+05:30,75.2,76.35,62.0,63.05,431015
2026-03-05 09:45:00+05:30,62.9,66.2,61.4,64.0,184015
2026-03-05 09:50:00+05:30,64.1,64.1,58.9,60.5,213460
2026-03-05 09:55:00+05:30,60.4,61.2,56.65,57.65,158600
2026-03-05 10:00:00+05:30,57.65,59.35,53.75,59.35,156650
2026-03-05 10:05:00+05:30,59.45,59.55,55.3,57.3,88075
2026-03-05 10:10:00+05:30,57.3,63.75,57.2,63.4,116870
2026-03-05 10:15:00+05:30,63.2,63.55,60.6,63.45,96395
2026-03-05 10:20:00+05:30,63.55,65.75,62.2,63.9,124865
2026-03-05 10:25:00+05:30,63.85,72.9,63.0,66.85,306800
2026-03-05 10:30:00+05:30,67.05,69.5,63.85,67.35,129350
2026-03-05 10:35:00+05:30,67.0,67.0,58.35,58.85,195065
2026-03-05 10:40:00+05:30,58.85,59.95,57.85,58.2,136890
2026-03-05 10:45:00+05:30,57.9,61.05,57.9,61.05,167895
2026-03-05 10:50:00+05:30,61.0,61.45,57.75,58.8,115895
2026-03-05 10:55:00+05:30,58.65,59.35,56.75,57.85,124215
2026-03-05 11:00:00+05:30,57.9,58.55,56.55,56.65,88725
2026-03-05 11:05:00+05:30,56.65,58.0,55.8,57.3,79755
2026-03-05 11:10:00+05:30,57.2,58.4,56.1,58.4,50895
2026-03-05 11:15:00+05:30,58.4,59.05,54.75,56.1,104325
2026-03-05 11:20:00+05:30,56.45,58.4,56.2,57.05,69420
2026-03-05 11:25:00+05:30,57.05,59.85,56.35,59.15,105820
2026-03-05 11:30:00+05:30,59.15,59.95,56.0,57.4,88465
2026-03-05 11:35:00+05:30,57.8,61.35,57.75,60.4,77805
2026-03-05 11:40:00+05:30,60.15,61.25,58.5,61.0,47775
2026-03-05 11:45:00+05:30,61.2,64.35,60.15,63.65,104910
2026-03-05 11:50:00+05:30,64.0,64.85,59.25,59.7,152360
2026-03-05 11:55:00+05:30,59.85,65.7,59.5,61.9,141700
2026-03-05 12:00:00+05:30,61.85,62.75,60.0,60.65,63830
2026-03-05 12:05:00+05:30,60.35,62.05,59.5,59.8,50570
2026-03-05 12:10:00+05:30,59.9,59.9,56.6,56.6,80730
2026-03-05 12:15:00+05:30,56.9,59.35,56.9,57.25,41535
2026-03-05 12:20:00+05:30,57.25,57.25,53.1,54.85,133510
2026-03-05 12:25:00+05:30,54.85,55.65,52.45,52.8,64220
2026-03-05 12:30:00+05:30,52.75,53.15,51.2,52.35,81315
2026-03-05 12:35:00+05:30,52.35,53.85,52.35,53.25,78910
2026-03-05 12:40:00+05:30,53.3,53.85,52.15,53.8,45630
2026-03-05 12:45:00+05:30,53.8,54.95,52.85,52.9,82095
2026-03-05 12:50:00+05:30,52.95,54.1,52.4,52.4,30810
2026-03-05 12:55:00+05:30,52.35,54.0,52.15,53.3,46020
2026-03-05 13:00:00+05:30,53.3,54.95,52.85,54.65,58175
2026-03-05 13:05:00+05:30,54.6,54.85,53.65,54.4,37895
2026-03-05 13:10:00+05:30,54.5,54.8,53.1,53.65,38870
2026-03-05 13:15:00+05:30,53.5,55.05,53.25,54.65,35750
2026-03-05 13:20:00+05:30,54.6,54.95,53.3,54.3,28470
2026-03-05 13:25:00+05:30,54.35,55.4,53.0,53.1,21840
2026-03-05 13:30:00+05:30,53.05,56.0,52.7,54.75,74295
2026-03-05 13:35:00+05:30,54.9,57.55,54.85,57.35,90870
2026-03-05 13:40:00+05:30,57.05,59.7,55.65,57.55,90090
2026-03-05 13:45:00+05:30,57.7,57.9,54.7,57.25,75725
2026-03-05 13:50:00+05:30,57.2,59.9,57.05,59.0,109915
2026-03-05 13:55:00+05:30,59.15,62.9,58.8,62.75,145860
2026-03-05 14:00:00+05:30,62.7,63.45,59.85,61.5,200135
2026-03-05 14:05:00+05:30,61.3,65.95,61.0,65.4,145860
2026-03-05 14:10:00+05:30,65.25,66.95,64.05,65.0,124345
2026-03-05 14:15:00+05:30,65.2,67.2,62.2,66.6,163995
2026-03-05 14:20:00+05:30,66.9,67.2,56.25,57.45,233155
2026-03-05 14:25:00+05:30,57.6,60.25,54.5,55.1,162435
2026-03-05 14:30:00+05:30,55.1,57.6,53.4,53.95,146835
2026-03-05 14:35:00+05:30,54.0,54.2,46.0,46.7,358605
2026-03-05 14:40:00+05:30,46.7,46.7,38.95,39.3,519220
2026-03-05 14:45:00+05:30,39.3,41.15,36.7,38.25,382265
2026-03-05 14:50:00+05:30,38.2,38.85,36.95,37.0,274820
2026-03-05 14:55:00+05:30,37.0,38.45,32.25,34.1,372970
2026-03-05 15:00:00+05:30,34.2,37.8,34.0,35.65,290160
2026-03-05 15:05:00+05:30,35.75,35.8,32.95,33.6,383240
2026-03-05 15:10:00+05:30,33.55,37.8,33.0,37.05,376350
2026-03-05 15:15:00+05:30,37.6,38.9,35.3,38.2,371215
2026-03-05 15:20:00+05:30,38.15,40.45,37.35,39.2,287625
2026-03-05 15:25:00+05:30,39.3,42.4,35.5,35.7,578305
