datetime,open,high,low,close,volume
2026-03-06 09:15:00+05:30,95.9,95.9,61.3,72.8,3713515
2026-03-06 09:20:00+05:30,72.65,83.15,71.0,79.6,2146170
2026-03-06 09:25:00+05:30,79.7,93.4,78.35,90.85,3044795
2026-03-06 09:30:00+05:30,91.0,94.0,84.65,86.1,2156570
2026-03-06 09:35:00+05:30,85.5,97.85,83.2,85.65,2125825
2026-03-06 09:40:00+05:30,85.9,96.45,83.5,95.65,1667510
2026-03-06 09:45:00+05:30,95.55,98.85,85.45,86.85,2210065
2026-03-06 09:50:00+05:30,87.0,90.0,84.4,86.5,940355
2026-03-06 09:55:00+05:30,86.7,86.7,79.1,80.9,1219335
2026-03-06 10:00:00+05:30,80.55,84.5,76.4,82.2,1078935
2026-03-06 10:05:00+05:30,82.35,88.05,77.45,85.7,1239550
2026-03-06 10:10:00+05:30,85.8,86.95,82.55,84.0,725725
2026-03-06 10:15:00+05:30,84.45,92.3,83.25,90.25,1254630
2026-03-06 10:20:00+05:30,90.6,90.6,85.5,89.35,712140
2026-03-06 10:25:00+05:30,89.4,93.6,80.6,82.8,1216735
2026-03-06 10:30:00+05:30,82.8,83.05,76.9,77.15,962130
2026-03-06 10:35:00+05:30,77.2,79.6,74.8,77.15,1007435
2026-03-06 10:40:00+05:30,77.1,78.95,74.65,75.2,574990
2026-03-06 10:45:00+05:30,75.3,76.85,68.95,68.95,954785
2026-03-06 10:50:00+05:30,69.0,76.95,67.05,72.9,1081600
2026-03-06 10:55:00+05:30,72.7,73.5,70.25,72.2,434265
2026-03-06 11:00:00+05:30,72.2,78.3,71.8,78.1,1071850
2026-03-06 11:05:00+05:30,78.45,81.65,75.6,78.95,1121835
2026-03-06 11:10:00+05:30,79.15,79.15,72.9,74.3,553150
2026-03-06 11:15:00+05:30,73.75,74.7,68.9,71.3,710450
2026-03-06 11:20:00+05:30,71.4,72.75,67.2,67.85,576355
2026-03-06 11:25:00+05:30,67.6,68.8,66.0,68.75,512265
2026-03-06 11:30:00+05:30,68.55,70.6,66.55,70.2,588380
2026-03-06 11:35:00+05:30,70.2,73.85,69.65,73.2,782925
2026-03-06 11:40:00+05:30,73.4,78.65,68.95,69.35,1258985
2026-03-06 11:45:00+05:30,69.45,74.6,68.1,74.0,519480
2026-03-06 11:50:00+05:30,74.0,75.4,69.1,71.35,465920
2026-03-06 11:55:00+05:30,71.0,72.85,69.3,72.2,394160
2026-03-06 12:00:00+05:30,72.0,72.0,67.75,68.15,418665
2026-03-06 12:05:00+05:30,67.95,72.9,67.65,72.35,417560
2026-03-06 12:10:00+05:30,72.25,74.0,67.8,69.05,530985
2026-03-06 12:15:00+05:30,69.1,73.05,68.4,69.95,427440
2026-03-06 12:20:00+05:30,70.1,70.8,67.75,70.5,331695
2026-03-06 12:25:00+05:30,70.4,70.4,64.85,66.5,798915
2026-03-06 12:30:00+05:30,66.3,68.75,66.2,67.65,579540
2026-03-06 12:35:00+05:30,67.6,68.5,66.1,66.6,280800
2026-03-06 12:40:00+05:30,66.8,69.25,65.8,68.25,514150
2026-03-06 12:45:00+05:30,68.4,69.0,64.65,67.0,471705
2026-03-06 12:50:00+05:30,66.85,70.4,66.5,67.6,518960
2026-03-06 12:55:00+05:30,67.6,70.6,67.1,70.2,437580
2026-03-06 13:00:00+05:30,70.3,71.2,66.45,69.25,716885
2026-03-06 13:05:00+05:30,69.5,72.25,67.65,68.9,380835
2026-03-06 13:10:00+05:30,69.0,71.2,68.4,70.1,230555
2026-03-06 13:15:00+05:30,70.05,72.0,68.0,68.9,282555
2026-03-06 13:20:00+05:30,68.8,72.7,67.55,70.55,471900
2026-03-06 13:25:00+05:30,70.8,72.7,69.3,71.15,406705
2026-03-06 13:30:00+05:30,71.1,71.8,64.85,67.15,675415
2026-03-06 13:35:00+05:30,67.0,75.45,64.6,69.0,1437020
2026-03-06 13:40:00+05:30,69.05,71.1,67.7,69.4,546585
2026-03-06 13:45:00+05:30,69.3,69.6,66.8,68.75,485615
2026-03-06 13:50:00+05:30,68.65,70.0,66.9,68.15,459615
2026-03-06 13:55:00+05:30,68.05,69.6,67.1,69.05,491465
2026-03-06 14:00:00+05:30,68.95,73.15,68.9,70.0,1052740
2026-03-06 14:05:00+05:30,70.2,72.85,69.55,72.15,436475
2026-03-06 14:10:00+05:30,72.3,74.2,69.5,69.5,903630
2026-03-06 14:15:00+05:30,69.75,77.6,69.3,76.55,1092585
2026-03-06 14:20:00+05:30,76.4,79.05,74.5,78.05,901745
2026-03-06 14:25:00+05:30,78.1,78.45,70.3,70.8,948935
2026-03-06 14:30:00+05:30,70.7,73.25,67.4,68.4,688155
2026-03-06 14:35:00+05:30,68.35,72.4,65.8,66.6,742170
2026-03-06 14:40:00+05:30,66.8,66.9,61.2,63.15,1052935
2026-03-06 14:45:00+05:30,62.95,66.4,40.35,54.75,3270605
2026-03-06 14:50:00+05:30,55.25,67.1,54.8,61.05,1837095
2026-03-06 14:55:00+05:30,61.35,62.9,57.35,60.1,833105
2026-03-06 15:00:00+05:30,60.9,61.3,50.0,51.15,1446250
2026-03-06 15:05:00+05:30,51.6,53.55,47.3,53.3,1071915
2026-03-06 15:10:00+05:30,53.45,54.1,45.65,50.25,1012310
2026-03-06 15:15:00+05:30,50.4,52.7,46.6,50.4,1305850
2026-03-06 15:20:00+05:30,50.8,54.7,47.25,49.35,1181570
2026-03-06 15:25:00+05:30,49.5,50.0,40.75,41.75,1673945
