datetime,open,high,low,close,volume
2026-03-09 09:15:00+05:30,59.9,82.95,35.15,73.15,6579820
2026-03-09 09:20:00+05:30,71.7,78.35,68.9,74.5,3027765
2026-03-09 09:25:00+05:30,73.75,74.7,61.55,65.25,2326545
2026-03-09 09:30:00+05:30,65.05,67.85,53.7,61.75,2601560
2026-03-09 09:35:00+05:30,61.3,65.1,59.0,63.75,1166750
2026-03-09 09:40:00+05:30,63.65,68.9,61.85,68.9,1199770
2026-03-09 09:45:00+05:30,68.7,71.9,60.25,63.6,2643290
2026-03-09 09:50:00+05:30,63.8,65.0,60.35,61.7,1021410
2026-03-09 09:55:00+05:30,61.75,65.0,61.1,63.35,636220
2026-03-09 10:00:00+05:30,63.15,65.85,59.45,65.7,896025
2026-03-09 10:05:00+05:30,65.65,65.8,58.6,59.85,957580
2026-03-09 10:10:00+05:30,60.2,62.0,58.1,61.55,928980
2026-03-09 10:15:00+05:30,61.45,65.6,60.6,63.6,1278810
2026-03-09 10:20:00+05:30,63.25,63.7,56.85,61.0,1211535
2026-03-09 10:25:00+05:30,60.85,62.9,58.5,60.0,652275
2026-03-09 10:30:00+05:30,60.1,63.4,58.5,62.7,783510
2026-03-09 10:35:00+05:30,62.6,63.75,54.1,54.8,1319045
2026-03-09 10:40:00+05:30,54.95,57.05,52.7,55.9,714675
2026-03-09 10:45:00+05:30,55.85,61.6,55.25,61.05,674050
2026-03-09 10:50:00+05:30,61.25,61.75,41.4,47.25,2710175
2026-03-09 10:55:00+05:30,47.35,49.05,43.5,45.85,1415180
2026-03-09 11:00:00+05:30,45.25,47.6,42.15,43.75,1067235
2026-03-09 11:05:00+05:30,43.8,49.45,43.8,48.35,817180
2026-03-09 11:10:00+05:30,48.3,54.0,46.8,46.95,1523470
2026-03-09 11:15:00+05:30,47.1,51.7,44.7,44.95,1127815
2026-03-09 11:20:00+05:30,44.85,45.65,43.3,45.25,672035
2026-03-09 11:25:00+05:30,45.3,46.35,41.35,43.2,680550
2026-03-09 11:30:00+05:30,43.1,44.4,42.35,42.7,531570
2026-03-09 11:35:00+05:30,42.7,44.75,42.0,43.9,496730
2026-03-09 11:40:00+05:30,43.75,44.2,41.35,43.5,887705
2026-03-09 11:45:00+05:30,43.5,44.4,40.9,43.4,747435
2026-03-09 11:50:00+05:30,43.4,44.35,43.0,43.35,406055
2026-03-09 11:55:00+05:30,43.3,44.25,42.05,43.4,403780
2026-03-09 12:00:00+05:30,43.4,43.7,38.1,39.0,968500
2026-03-09 12:05:00+05:30,39.15,46.05,38.0,46.05,1111045
2026-03-09 12:10:00+05:30,45.85,47.3,42.0,43.4,1105780
2026-03-09 12:15:00+05:30,43.35,45.3,42.8,44.95,536185
2026-03-09 12:20:00+05:30,44.95,47.0,42.8,42.85,719485
2026-03-09 12:25:00+05:30,42.8,44.65,42.0,43.8,494780
2026-03-09 12:30:00+05:30,43.8,47.05,43.0,47.05,440245
2026-03-09 12:35:00+05:30,47.1,48.0,42.75,43.6,699335
2026-03-09 12:40:00+05:30,43.65,44.75,42.55,44.2,410930
2026-03-09 12:45:00+05:30,44.2,46.7,43.45,46.35,512070
2026-03-09 12:50:00+05:30,46.4,46.65,42.45,43.35,674635
2026-03-09 12:55:00+05:30,43.25,44.2,41.95,43.8,511355
2026-03-09 13:00:00+05:30,43.8,45.2,43.5,44.25,484445
2026-03-09 13:05:00+05:30,44.65,48.25,44.1,48.05,510380
2026-03-09 13:10:00+05:30,47.8,48.5,45.75,46.75,548665
2026-03-09 13:15:00+05:30,46.65,47.15,44.25,44.5,509340
2026-03-09 13:20:00+05:30,44.7,46.2,42.2,46.05,801385
2026-03-09 13:25:00+05:30,46.3,47.35,42.9,43.5,549965
2026-03-09 13:30:00+05:30,43.4,44.05,39.8,42.85,929955
2026-03-09 13:35:00+05:30,42.8,43.65,42.0,42.5,621010
2026-03-09 13:40:00+05:30,42.2,43.1,41.5,42.2,273065
2026-03-09 13:45:00+05:30,42.25,46.0,42.15,44.55,615615
2026-03-09 13:50:00+05:30,44.65,45.3,42.6,42.95,348725
2026-03-09 13:55:00+05:30,42.85,44.95,41.45,44.8,548145
2026-03-09 14:00:00+05:30,44.75,47.65,44.0,44.45,1245920
2026-03-09 14:05:00+05:30,44.35,45.7,42.5,43.45,651105
2026-03-09 14:10:00+05:30,43.4,45.9,43.0,45.45,698555
2026-03-09 14:15:00+05:30,44.7,47.4,44.5,45.6,908570
2026-03-09 14:20:00+05:30,46.0,47.25,42.7,43.1,762645
2026-03-09 14:25:00+05:30,43.1,44.2,40.95,43.0,955045
2026-03-09 14:30:00+05:30,42.85,43.25,39.7,42.35,941460
2026-03-09 14:35:00+05:30,42.3,42.9,40.05,40.2,566735
2026-03-09 14:40:00+05:30,40.5,42.7,37.85,39.4,1379690
2026-03-09 14:45:00+05:30,39.35,40.3,30.8,33.65,3188835
2026-03-09 14:50:00+05:30,33.55,33.7,25.3,26.2,2875925
2026-03-09 14:55:00+05:30,26.15,30.8,25.65,28.1,1861990
2026-03-09 15:00:00+05:30,28.05,30.75,18.85,20.2,3733925
2026-03-09 15:05:00+05:30,20.0,25.45,19.1,24.15,2204540
2026-03-09 15:10:00+05:30,24.25,25.5,22.2,23.25,1948310
2026-03-09 15:15:00+05:30,23.5,23.5,20.15,22.05,1748110
2026-03-09 15:20:00+05:30,21.95,27.2,21.95,26.65,2061930
2026-03-09 15:25:00+05:30,26.7,29.1,23.1,25.4,1962155
