datetime,open,high,low,close,volume
2026-03-06 09:15:00+05:30,24656.4,24700.9,24590.75,24594.4,23984627
2026-03-06 09:20:00+05:30,24594.9,24652.75,24587.15,24647.6,13032325
2026-03-06 09:25:00+05:30,24647.45,24683.0,24644.2,24681.2,9698869
2026-03-06 09:30:00+05:30,24681.5,24681.5,24649.3,24650.45,9378432
2026-03-06 09:35:00+05:30,24650.35,24676.55,24639.8,24648.4,7049708
2026-03-06 09:40:00+05:30,24647.8,24680.8,24641.25,24678.85,5573866
2026-03-06 09:45:00+05:30,24678.35,24688.1,24655.75,24657.9,6895374
2026-03-06 09:50:00+05:30,24658.2,24666.25,24638.95,24643.85,6905160
2026-03-06 09:55:00+05:30,24643.3,24643.6,24618.85,24625.15,5486169
2026-03-06 10:00:00+05:30,24624.3,24647.5,24616.95,24635.0,4832601
2026-03-06 10:05:00+05:30,24634.65,24661.1,24622.8,24653.6,3677860
2026-03-06 10:10:00+05:30,24654.0,24657.85,24648.95,24653.35,3759514
2026-03-06 10:15:00+05:30,24652.35,24675.45,24651.1,24673.5,4204980
2026-03-06 10:20:00+05:30,24674.15,24674.35,24658.75,24669.1,4248918
2026-03-06 10:25:00+05:30,24669.2,24675.65,24647.4,24651.75,4859646
2026-03-06 10:30:00+05:30,24652.35,24652.7,24618.85,24619.1,5704510
2026-03-06 10:35:00+05:30,24618.6,24630.55,24608.75,24621.6,5045728
2026-03-06 10:40:00+05:30,24620.95,24629.1,24613.3,24620.15,3670123
2026-03-06 10:45:00+05:30,24620.8,24622.3,24585.05,24586.5,6465847
2026-03-06 10:50:00+05:30,24587.2,24621.05,24575.15,24596.7,4020766
2026-03-06 10:55:00+05:30,24595.75,24598.1,24584.2,24594.65,3229129
2026-03-06 11:00:00+05:30,24594.9,24636.85,24594.9,24635.7,4936321
2026-03-06 11:05:00+05:30,24636.55,24648.7,24626.3,24635.95,3876085
2026-03-06 11:10:00+05:30,24636.1,24637.55,24615.1,24617.6,2859070
2026-03-06 11:15:00+05:30,24617.4,24621.4,24599.7,24606.35,3710436
2026-03-06 11:20:00+05:30,24606.6,24619.6,24600.15,24600.15,3446444
2026-03-06 11:25:00+05:30,24600.2,24607.55,24593.9,24607.25,3605101
2026-03-06 11:30:00+05:30,24607.75,24620.85,24602.55,24620.45,3502512
2026-03-06 11:35:00+05:30,24620.75,24635.65,24618.35,24635.55,3697774
2026-03-06 11:40:00+05:30,24634.85,24654.55,24615.8,24616.4,4828340
