datetime,open,high,low,close,volume
2026-03-09 09:15:00+05:30,106.0,106.05,50.0,67.95,2561650
2026-03-09 09:20:00+05:30,69.3,69.9,57.3,57.3,1074515
2026-03-09 09:25:00+05:30,57.4,62.9,53.3,61.1,1050985
2026-03-09 09:30:00+05:30,60.9,65.65,56.05,61.85,1201200
2026-03-09 09:35:00+05:30,61.6,63.15,59.2,60.3,478530
2026-03-09 09:40:00+05:30,60.1,61.2,54.4,54.8,644085
2026-03-09 09:45:00+05:30,54.85,58.05,50.55,55.7,970385
2026-03-09 09:50:00+05:30,55.5,59.35,54.8,57.8,549445
2026-03-09 09:55:00+05:30,57.75,58.95,55.25,56.2,390715
2026-03-09 10:00:00+05:30,56.3,59.1,53.85,54.25,523445
2026-03-09 10:05:00+05:30,54.15,62.0,54.15,60.0,718315
2026-03-09 10:10:00+05:30,59.8,62.7,57.25,57.25,693940
2026-03-09 10:15:00+05:30,57.45,57.45,49.85,50.15,1115465
2026-03-09 10:20:00+05:30,50.3,54.05,47.7,48.25,851890
2026-03-09 10:25:00+05:30,48.1,50.6,46.55,48.8,472875
2026-03-09 10:30:00+05:30,48.75,49.35,43.6,44.1,818545
2026-03-09 10:35:00+05:30,44.0,49.8,42.7,46.7,818805
2026-03-09 10:40:00+05:30,46.85,48.65,45.25,47.85,478465
2026-03-09 10:45:00+05:30,47.85,48.0,44.0,44.9,427050
2026-03-09 10:50:00+05:30,44.9,64.4,44.6,60.9,2670135
2026-03-09 10:55:00+05:30,59.8,72.0,58.35,63.1,2679820
2026-03-09 11:00:00+05:30,64.7,64.95,55.6,58.3,1365390
2026-03-09 11:05:00+05:30,58.35,59.7,51.75,53.25,1053780
2026-03-09 11:10:00+05:30,52.85,54.35,45.85,51.75,1609205
2026-03-09 11:15:00+05:30,51.55,55.45,46.5,54.35,1090180
2026-03-09 11:20:00+05:30,54.35,62.1,53.5,57.45,1253590
2026-03-09 11:25:00+05:30,57.6,65.9,54.0,62.4,1229995
2026-03-09 11:30:00+05:30,62.5,66.35,58.8,63.5,1021865
2026-03-09 11:35:00+05:30,63.45,70.65,62.3,68.1,1205360
2026-03-09 11:40:00+05:30,68.4,77.65,66.15,68.15,2254850
2026-03-09 11:45:00+05:30,68.3,72.9,63.55,65.65,1257100
2026-03-09 11:50:00+05:30,65.45,67.9,63.25,64.55,607620
2026-03-09 11:55:00+05:30,64.75,66.6,61.15,62.75,654875
2026-03-09 12:00:00+05:30,62.15,65.1,58.25,63.7,912665
2026-03-09 12:05:00+05:30,63.45,63.7,53.4,53.45,911235
2026-03-09 12:10:00+05:30,53.55,56.85,51.5,55.2,860210
2026-03-09 12:15:00+05:30,55.2,56.4,52.4,53.1,479895
2026-03-09 12:20:00+05:30,53.0,56.45,51.35,56.2,546780
2026-03-09 12:25:00+05:30,56.4,57.85,53.3,54.95,589290
2026-03-09 12:30:00+05:30,55.3,56.55,51.35,51.35,574730
2026-03-09 12:35:00+05:30,51.3,58.9,50.45,57.85,682630
2026-03-09 12:40:00+05:30,58.3,64.5,57.45,61.8,1099865
2026-03-09 12:45:00+05:30,61.6,65.95,57.0,57.5,1023100
2026-03-09 12:50:00+05:30,57.5,67.25,57.15,66.6,812370
2026-03-09 12:55:00+05:30,66.5,76.3,64.0,74.0,1478750
2026-03-09 13:00:00+05:30,73.6,75.2,66.2,71.3,1375855
2026-03-09 13:05:00+05:30,71.2,72.95,67.2,67.4,716820
2026-03-09 13:10:00+05:30,67.6,69.7,62.05,63.9,810940
2026-03-09 13:15:00+05:30,63.75,67.3,61.0,64.45,688025
2026-03-09 13:20:00+05:30,64.4,74.5,62.5,62.55,1234415
2026-03-09 13:25:00+05:30,62.4,72.65,61.3,69.1,1198730
2026-03-09 13:30:00+05:30,69.6,91.75,68.1,78.95,2494960
2026-03-09 13:35:00+05:30,79.3,81.65,72.2,79.2,1579695
2026-03-09 13:40:00+05:30,79.65,83.8,75.2,81.15,1150175
2026-03-09 13:45:00+05:30,80.9,80.9,68.25,72.15,1297985
2026-03-09 13:50:00+05:30,71.95,80.8,69.9,76.9,975650
2026-03-09 13:55:00+05:30,76.65,80.5,69.45,70.35,971815
2026-03-09 14:00:00+05:30,70.4,73.4,64.9,72.75,1245140
2026-03-09 14:05:00+05:30,72.5,74.7,69.7,72.5,833950
2026-03-09 14:10:00+05:30,72.65,74.05,64.85,65.3,983255
2026-03-09 14:15:00+05:30,67.2,67.8,62.35,65.2,844545
2026-03-09 14:20:00+05:30,64.15,76.85,62.2,76.65,1221870
2026-03-09 14:25:00+05:30,76.6,82.5,70.0,75.35,1610180
2026-03-09 14:30:00+05:30,75.6,83.75,72.2,74.5,1523145
2026-03-09 14:35:00+05:30,74.3,81.5,71.6,81.25,1102140
2026-03-09 14:40:00+05:30,80.15,85.55,72.45,84.2,2215135
2026-03-09 14:45:00+05:30,83.8,117.2,80.85,96.7,5180240
2026-03-09 14:50:00+05:30,97.2,106.55,85.75,100.45,3323645
2026-03-09 14:55:00+05:30,100.8,102.9,88.8,102.15,2365935
2026-03-09 15:00:00+05:30,102.85,113.65,80.5,107.6,5470465
2026-03-09 15:05:00+05:30,108.3,125.2,94.7,101.65,3982420
2026-03-09 15:10:00+05:30,100.25,110.8,97.6,103.35,1947335
2026-03-09 15:15:00+05:30,103.75,107.2,96.45,99.65,1750125
2026-03-09 15:20:00+05:30,99.25,99.75,80.8,84.55,2465840
2026-03-09 15:25:00+05:30,84.1,85.9,74.65,81.6,1957865
